2026-02-16T00:56:55.521-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-7] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T00:56:55.636-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-10] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T00:57:01.402-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-1] c.a.backend.service.InstagramService     : Called to retrieve list of accounts with suffix [nmf] and date 2026-01-04
2026-02-16T00:58:16.499-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-2] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T00:58:16.636-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-5] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T00:58:18.514-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-3] c.a.backend.service.InstagramService     : Called to retrieve list of accounts with suffix [nmf] and date 2026-01-04
2026-02-16T00:59:06.967-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-7] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T00:59:07.122-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-10] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T00:59:09.225-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-1] c.a.backend.service.InstagramService     : Called to retrieve list of accounts with suffix [nmf] and date 2026-01-04
2026-02-16T01:23:02.236-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-8] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T01:23:02.302-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-7] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T01:23:11.842-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-10] c.a.backend.service.InstagramService     : Called to retrieve list of accounts with suffix [nmf] and date 2026-01-04
2026-02-16T01:47:21.571-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-1] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:47:21.581-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-4] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:49:33.644-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-6] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:49:33.651-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-8] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:52:51.278-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-2] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:52:51.285-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-5] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:52:58.190-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-8] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:52:58.195-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-7] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:56:03.977-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-9] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:56:03.984-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-2] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:56:45.593-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-6] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T01:56:45.599-05:00  WARN 34969 --- [backend] [http-nio-8080-exec-8] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [java.lang.UnsupportedOperationException: This operation is only supported on Linux systems.]
2026-02-16T02:07:07.195-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-2] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T02:07:07.247-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-5] c.a.backend.service.InstagramService     : Called to retrieve list of dates
2026-02-16T02:07:09.883-05:00 TRACE 34969 --- [backend] [http-nio-8080-exec-3] c.a.backend.service.InstagramService     : Called to retrieve list of accounts with suffix [nmf] and date 2026-01-04
